API ID	Endpoint	Method	Auth	Query / Path Parameters	Request Payload (Sample JSON)	Success Response (Sample JSON 200/201)	Common Error Codes	Business Logic & Edge Cases
API-01	/auth/session	GET	Bearer Token	None	None (GET request)	"{""success"": true, ""data"": {""is_authenticated"": true, ""user"": {""id"": ""usr_919876543210"", ""phone"": ""+919876543210"", ""name"": ""Rahul Sharma""}, ""active_booking_id"": ""BK-2026-9812""}, ""error"": null}"	401 Unauthorized	If token expired/invalid, app clears cached tokens and navigates to Login screen.
API-02	/auth/send-otp	POST	Public	None	"{""type"": ""PHONE"", ""identifier"": ""+919876543210""}  // Or {""type"": ""EMAIL"", ""identifier"": ""rahul@example.com""}"	"{""success"": true, ""data"": {""request_id"": ""otp_req_abc123"", ""delivery_type"": ""SMS"", ""expires_in_seconds"": 60, ""resend_available_after"": 30}, ""error"": null}"	400 Bad Request, 429 Rate Limit	Rate limit to 3 requests per phone per 10 mins. Support bypass OTP (e.g. 123456) in staging.
API-03	/auth/verify-otp	POST	Public	None	"{""request_id"": ""otp_req_abc123"", ""otp"": ""482910""}"	"{""success"": true, ""data"": {""token"": ""jwt_access_token_xxx"", ""refresh_token"": ""refresh_token_xxx"", ""expires_in"": 2592000, ""user"": {""id"": ""usr_919876543210"", ""phone"": ""+919876543210"", ""name"": ""Rahul Sharma"", ""is_new_user"": false}}, ""error"": null}"	400 INVALID_OTP, 410 OTP_EXPIRED	Max 3 incorrect OTP attempts before locking request_id. Works for both SMS & Email OTP.
API-04	/auth/resend-otp	POST	Public	None	"{""phone"": ""+919876543210"", ""request_id"": ""otp_req_abc123""}"	"{""success"": true, ""data"": {""request_id"": ""otp_req_def456"", ""expires_in_seconds"": 60, ""message"": ""A new OTP has been sent via SMS.""}, ""error"": null}"	400 INVALID_REQUEST, 429 TOO_EARLY	Frontend blocks resend until 30s countdown expires. Backend invalidates previous OTP.
API-05	/auth/social-login	POST	Public	None	"{""provider"": ""GOOGLE"", ""id_token"": ""jwt_from_google"", ""full_name"": ""Rahul Sharma"", ""email"": ""rahul@gmail.com""}"	"{""success"": true, ""data"": {""token"": ""jwt_access_token_xxx"", ""refresh_token"": ""refresh_xxx"", ""expires_in"": 2592000, ""phone_linked"": false, ""user"": {""id"": ""usr_soc_123"", ""email"": ""rahul@gmail.com"", ""name"": ""Rahul Sharma"", ""phone"": null, ""is_new_user"": true}}, ""error"": null}"	401 INVALID_SOCIAL_TOKEN	Validate against Google/Apple certs. If phone_linked is false, app routes to /auth/link-phone.
API-06	/auth/link-phone	POST	Bearer Token	None	"{""phone"": ""+919876543210"", ""request_id"": ""otp_req_link789"", ""otp"": ""591240""}"	"{""success"": true, ""data"": {""phone_linked"": true, ""user"": {""id"": ""usr_soc_123"", ""phone"": ""+919876543210"", ""email"": ""rahul@gmail.com"", ""name"": ""Rahul Sharma""}}, ""error"": null}"	400 INVALID_OTP, 409 PHONE_ALREADY_LINKED	Merges user profile if phone was already registered under a legacy account.
API-07	/home/feed	GET	Bearer Token	None	None (GET request)	"{""success"": true, ""data"": {""active_ride"": {""booking_id"": ""BK-2026-9812"", ""status"": ""PARTNER_ASSIGNED"", ""route"": ""Delhi to Agra"", ""pickup_time"": ""2026-09-10T06:00:00+05:30"", ""driver_name"": ""Vikram Singh"", ""vehicle_number"": ""DL 01 AB 1234""}, ""banners"": [{""id"": ""banner_1"", ""image_url"": ""https://cdn.../b1.png"", ""action_route"": ""OUTSTATION"", ""title"": ""Flat ₹300 off""}], ""service_categories"": [{""type"": ""ONE_WAY"", ""title"": ""One Way""}, {""type"": ""ROUND_TRIP"", ""title"": ""Round Trip""}, {""type"": ""AIRPORT"", ""title"": ""Airport""}], ""recent_routes"": [{""pickup"": ""Delhi"", ""drop"": ""Agra"", ""trip_type"": ""ROUND_TRIP"", ""distance_km"": 235}]}, ""error"": null}"	401 Unauthorized	If active_ride exists, Home screen renders sticky top tracking card with 1-tap navigation.
API-08	/location/autocomplete	GET	Bearer Token	query (string, required), latitude (float, optional), longitude (float, optional)	None (GET request)	"{""success"": true, ""data"": {""predictions"": [{""place_id"": ""ChIJL_PO_qq7jzkR6kP1kQ"", ""main_text"": ""IGI Airport"", ""secondary_text"": ""New Delhi, India"", ""latitude"": 28.5562, ""longitude"": 77.1000}]}, ""error"": null}"	400 MISSING_QUERY	Debounced at 300ms on frontend. Keeps Google Places API key secure on backend.
API-09	/location/reverse-geocode	GET	Bearer Token	lat (float, required), lng (float, required)	None (GET request)	"{""success"": true, ""data"": {""formatted_address"": ""Block B, Connaught Place, New Delhi"", ""short_name"": ""Connaught Place"", ""city"": ""New Delhi"", ""state"": ""Delhi"", ""latitude"": 28.6139, ""longitude"": 77.2090}, ""error"": null}"	400 INVALID_COORDINATES	Invoked when user moves map pin or drops pin on current GPS location.
API-10	/outstation/popular-routes	GET	Bearer Token	origin_city (string, optional, default: Delhi)	None (GET request)	"{""success"": true, ""data"": {""routes"": [{""id"": ""del_agr"", ""origin"": ""Delhi NCR"", ""destination"": ""Agra"", ""distance_km"": 230, ""starting_fare"": 2499, ""image_url"": ""https://cdn.../agra.jpg""}, {""id"": ""del_jpr"", ""origin"": ""Delhi NCR"", ""destination"": ""Jaipur"", ""distance_km"": 280, ""starting_fare"": 2999, ""image_url"": ""https://cdn.../jaipur.jpg""}]}, ""error"": null}"	400 Bad Request	Powers the quick city selection pills on the Outstation screen.
API-11	/route/calculate	POST	Bearer Token	None	"{""pickup"": {""address"": ""Connaught Place, New Delhi"", ""latitude"": 28.6315, ""longitude"": 77.2167}, ""drop"": {""address"": ""Taj East Gate, Agra"", ""latitude"": 27.1731, ""longitude"": 78.0421}, ""waypoints"": []}"	"{""success"": true, ""data"": {""distance_km"": 232.5, ""duration_minutes"": 215, ""formatted_duration"": ""3h 35m"", ""toll_count"": 3, ""estimated_tolls_inr"": 415, ""encoded_polyline"": ""a~l~FjkztO_@e@...""}, ""error"": null}"	400 UNROUTABLE_PATH	Returns encoded polyline for drawing path on map and tolls calculation.
API-12	/rides/available-slots	GET	Bearer Token	date (string YYYY-MM-DD, required), trip_type (string, required)	None (GET request)	"{""success"": true, ""data"": {""selected_date"": ""2026-09-10"", ""is_immediate_booking_allowed"": false, ""min_advance_hours"": 2, ""available_slots"": [{""time"": ""06:00 AM"", ""is_available"": true, ""night_charge_applies"": false}, {""time"": ""11:30 PM"", ""is_available"": true, ""night_charge_applies"": true}]}, ""error"": null}"	400 INVALID_DATE	Outstation trips enforce min 2-hour advance booking; night charges flag 10 PM - 6 AM.
API-13	/cabs/search	POST	Bearer Token	None	"{""pickup_lat"": 28.6315, ""pickup_lng"": 77.2167, ""drop_lat"": 27.1731, ""drop_lng"": 78.0421, ""pickup_datetime"": ""2026-09-10T06:00:00+05:30"", ""trip_type"": ""ROUND_TRIP"", ""return_datetime"": ""2026-09-11T20:00:00+05:30""}"	"{""success"": true, ""data"": {""vehicles"": [{""vehicle_type_id"": ""SEDAN"", ""category_name"": ""Sedan"", ""model_examples"": ""Dzire, Etios"", ""seating_capacity"": 4, ""luggage_capacity"": 2, ""ac"": true, ""total_fare"": 5499, ""discounted_fare"": 4999, ""per_km_rate"": 11.5, ""eta_minutes"": 15, ""badge"": ""Most Popular"", ""image_url"": ""https://cdn.../sedan.png""}]}, ""error"": null}"	400 NO_CABS_AVAILABLE	Calculates pricing for Sedan, SUV, Innova Crysta; returns badge for top choices.
API-14	/cabs/{vehicleTypeId}/details	GET	Bearer Token	vehicleTypeId (path param, e.g. SEDAN, SUV)	None (GET request)	"{""success"": true, ""data"": {""vehicle_type_id"": ""SEDAN"", ""name"": ""Sedan (Dzire / Etios)"", ""description"": ""Comfortable AC sedan for 4 passengers."", ""specifications"": {""passengers"": 4, ""large_bags"": 2, ""small_bags"": 1, ""ac"": true, ""carrier"": false}, ""inclusions"": [""Base fare for 465 km"", ""Driver allowance"", ""Tolls & State permit"", ""GST 5%""], ""exclusions"": [""Parking charges"", ""Extra km beyond 465 km @ ₹11.5/km""], ""cancellation_policy"": ""Free cancellation up to 6 hours before pickup.""}, ""error"": null}"	404 VEHICLE_NOT_FOUND	Renders Review Cab Details screen cards: vehicle specs, inclusions, exclusions, cancel terms.
API-15	/booking/fare-quote	POST	Bearer Token	None	"{""vehicle_type_id"": ""SEDAN"", ""distance_km"": 465.0, ""trip_type"": ""ROUND_TRIP"", ""coupon_code"": ""WELCOME100"", ""pickup_datetime"": ""2026-09-10T06:00:00+05:30""}"	"{""success"": true, ""data"": {""base_fare"": 4799, ""distance_charges"": 0, ""driver_allowance"": 400, ""toll_and_taxes"": 415, ""gst_amount"": 280.70, ""discount_amount"": 100.00, ""total_fare"": 5794.70, ""round_off_fare"": 5795, ""advance_payable_options"": {""twenty_percent"": 1159, ""full_amount"": 5795}}, ""error"": null}"	400 CALCULATION_ERROR	Outputs both 20% advance option and 100% full pay amount; accounts for coupon discount.
API-16	/coupons/apply	POST	Bearer Token	None	"{""code"": ""GOCAB300"", ""trip_type"": ""ROUND_TRIP"", ""order_amount"": 5499}"	"{""success"": true, ""data"": {""code"": ""GOCAB300"", ""is_valid"": true, ""discount_amount"": 300, ""message"": ""₹300 discount applied successfully.""}, ""error"": null}"	400 COUPON_EXPIRED, 400 MIN_ORDER_NOT_MET	Clear validation message shown on screen if minimum cart value not met.
API-17	/booking/create	POST	Bearer Token	None	"{""trip_type"": ""ROUND_TRIP"", ""vehicle_type_id"": ""SEDAN"", ""pickup"": {""address"": ""Delhi"", ""latitude"": 28.63, ""longitude"": 77.21}, ""drop"": {""address"": ""Agra"", ""latitude"": 27.17, ""longitude"": 78.04}, ""pickup_datetime"": ""2026-09-10T06:00:00+05:30"", ""return_datetime"": ""2026-09-11T20:00:00+05:30"", ""passenger_name"": ""Rahul Sharma"", ""passenger_phone"": ""+919876543210"", ""coupon_code"": ""GOCAB300"", ""payment_mode"": ""ADVANCE_ONLINE""}"	"{""success"": true, ""data"": {""booking_id"": ""BK-2026-9812"", ""booking_status"": ""PAYMENT_PENDING"", ""amount_to_pay"": 1159, ""total_fare"": 5495, ""remaining_balance"": 4336, ""payment_gateway"": {""provider"": ""RAZORPAY"", ""order_id"": ""order_RzP109"", ""key_id"": ""rzp_live_xxx"", ""currency"": ""INR"", ""amount_in_paise"": 115900}}, ""error"": null}"	400 INVALID_BOOKING_PARAMS, 409 DUPLICATE	If payment_mode is PAY_TO_DRIVER, gateway is null and status is immediately CONFIRMED.
