S.No.,Category / Module,Screen Name,SVG Subfolder,SVG Filename,UI Implementation Status,Backend / API Status,Existing / Proposed Kotlin File,Associated ViewModel / Repository,Key Features & UI Elements
1,StartUp & Auth,Splash Screen,Implemented Screen/StartUp Screen,1. splash-screen.svg,Implemented,Integrated,screens/SplashScreen.kt,SessionCheckScreen (Session validation),Brand logo with animated splash entry and session token check.
2,StartUp & Auth,Onboarding Screen,Implemented Screen/StartUp Screen,3. onboarding.svg,Implemented,Static / Local Storage,screens/OnboardingScreen.kt,Local SharedPreferences / DataStore,"Introduction carousel with value propositions, Skip and Next CTAs."
3,StartUp & Auth,Location Permission Screen,Implemented Screen/StartUp Screen,13. location-permission.svg,Implemented,Native Platform API,screens/LocationPermissionScreen.kt,LocationPermissionRequester,Rationale explanation and GPS location permission dialog trigger.
4,StartUp & Auth,Login Screen (Phone Auth),Implemented Screen/auth Screen,4. login-screen.svg,Implemented,Mock / Ready for Auth API,screens/LoginScreen.kt,Auth Repository,Mobile number input with country code (+91) and Send OTP button.
5,StartUp & Auth,OTP Verification Screen,Implemented Screen/auth Screen,7. otp-verification.svg,Implemented,Mock / Ready for Auth API,screens/OtpVerificationScreen.kt,Auth Repository,"6-digit OTP entry boxes, auto-focus, and validation flow."
6,StartUp & Auth,Resend OTP Screen,Implemented Screen/auth Screen,8. resend-otp.svg,Implemented (Integrated in OTP screen),Mock / Ready for Auth API,screens/OtpVerificationScreen.kt,Auth Repository,Countdown timer expired state with Resend OTP button active.
7,StartUp & Auth,OTP Error State,Implemented Screen/auth Screen,9. otp-error.svg,Implemented (Integrated in OTP screen),Mock / Ready for Auth API,screens/OtpVerificationScreen.kt,Auth Repository,Red highlighted error borders and invalid OTP warning message.
8,StartUp & Auth,Splash Screen (Popular Getaways),Implemented Screen/Splash Screen,splash-screen.svg,Implemented,Integrated,screens/SplashScreen.kt,SessionCheckScreen,"Popular Getaways layout featuring Goa, Manali, Jaipur, and Kerala destination cards, central brand emblem, and trust badge footer."
9,Main Screen,Home Screen,Implemented Screen/Main Screen,15. home-screen.svg,Implemented,Integrated (Live API),screens/HomeScreen.kt,"HomeViewModel, HomeRepository, HomeApiClient","Service tabs (Outstation, Local, Airport), popular destination cards, promo banners."
10,Main Screen,Side Drawer Menu,Implemented Screen/Main Screen,side-drawer-menu.svg,Implemented,Partially Integrated,screens/SideDrawerMenu.kt,User Session / App Navigation,"Sliding drawer: user avatar, My Trips, Saved Places, Refer & Earn, Settings, Support, Logout."
11,Trip Booking Process,Pickup Location Selection,Implemented Screen/Trip Booking Process Screen,16. pickup-location-selection.svg,Implemented,Integrated (Google Places),screens/PickupLocationSelectionScreen.kt,"LocationSelectionViewModel, GooglePlacesService","Search pickup location bar, GPS location button, recent & saved location chips."
12,Trip Booking Process,Confirm Pickup Location - Map,Implemented Screen/Trip Booking Process Screen,17. confirm-pickup-location - map.svg,Implemented,Integrated (Map + Geocoding),screens/ConfirmPickupLocationMapScreen.kt,"ConfirmPickupViewModel, LocationApiClient, PlatformMapView","Interactive map with draggable center pin, resolved address card, and confirm CTA."
13,Trip Booking Process,City Route Selection,Implemented Screen/Trip Booking Process Screen,18. city-route-selection.svg,Implemented,Integrated (Live API),screens/CityRouteSelectionScreen.kt,"OutstationRouteViewModel, OutstationRepository","One-Way vs Round Trip toggle, source and destination city selector cards."
14,Trip Booking Process,Search Destination,Implemented Screen/Trip Booking Process Screen,19. search-destination.svg,Implemented,Integrated (Google Places API),screens/SearchDestinationScreen.kt,"SearchDestinationViewModel, GooglePlacesService",Destination city search with instant auto-suggestions and popular destination lists.
15,Trip Booking Process,Pickup-Drop Route Confirmation,Implemented Screen/Trip Booking Process Screen,21. pickup-drop-confirmation.svg,Implemented,Integrated,screens/MultiStopRouteConfirmationScreen.kt,MultiStopRouteViewModel,"Route summary card, multi-stop additions, estimated distance (km) and travel duration."
16,Trip Booking Process,Schedule Ride,Implemented Screen/Trip Booking Process Screen,22. schedule-ride.svg,Implemented,Integrated,screens/ScheduleRideScreen.kt,ScheduleRideViewModel,Choice between Ride Now or Schedule for Later with summary of selected route.
17,Trip Booking Process,Date Selection,Implemented Screen/Trip Booking Process Screen,23. date-selection.svg,Implemented,Integrated,screens/DateSelectionScreen.kt,"ScheduleRideViewModel, BookingSession",Calendar date picker for departure date and return date (for round-trip).
18,Trip Booking Process,Time Selection,Implemented Screen/Trip Booking Process Screen,24. time-selection.svg,Implemented,Integrated,screens/TimeSelectionScreen.kt,"ScheduleRideViewModel, BookingSession","Time slot picker (hours, minutes, AM/PM) with minimum advance booking buffer."
19,Trip Fare & Vehicle Selection,Vehicle Partner Options,Implemented Screen/Trip fare and details Screen,25. vehicle-partner-options.svg,Implemented,Integrated (Live API),screens/VehiclePartnerOptionsScreen.kt,"VehicleSelectionViewModel, VehicleRepository","List of vehicle categories (Hatchback, Sedan, SUV, Crysta), fare estimates, partner ratings."
20,Trip Fare & Vehicle Selection,Cab Detail,Implemented Screen/Trip fare and details Screen,27. cab-detail.svg,Implemented,Integrated,screens/CabDetailScreen.kt,"BookingFlowViewModel, BookingRepository","Vehicle specs, seating capacity, AC, luggage allowance, driver amenities & partner info."
21,Trip Fare & Vehicle Selection,Fare Details,Implemented Screen/Trip fare and details Screen,28. fare-details.svg,Implemented,Integrated,screens/FareDetailsScreen.kt,BookingFlowViewModel,"Itemized fare breakdown: base fare, extra km rate, toll & state tax, night charges, GST."
22,Trip Fare & Vehicle Selection,Apply Coupon,Implemented Screen/Trip fare and details Screen,29. apply-coupon.svg,Implemented,Integrated,screens/ApplyCouponScreen.kt,BookingFlowViewModel,"Coupon input field, list of eligible promo offers, instant discount application."
23,Trip Fare & Vehicle Selection,Booking Summary,Implemented Screen/Trip fare and details Screen,30. booking-summary.svg,Implemented,Integrated,screens/BookingSummaryScreen.kt,BookingFlowViewModel,"Pre-booking check: route, schedule, car type, traveler details, coupon applied, total price."
24,Trip Fare & Vehicle Selection,Booking Confirmation,Implemented Screen/Trip fare and details Screen,31. booking-confirmation.svg,Implemented,Integrated,screens/BookingConfirmationScreen.kt,BookingFlowViewModel,"Milestone payment option: Pay advance now to confirm booking, remainder scheduled before each stage."
25,Trip Fare & Vehicle Selection,Booking ID Confirmation,Implemented Screen/Trip fare and details Screen,35. booking-id-confirmation.svg,Implemented,Integrated,screens/BookingIdConfirmationScreen.kt,BookingFlowViewModel,"Confirmed booking card, generated Booking ID (e.g. GIC-849201), ticket PDF download, Track Trip CTA."
26,Trip Fare & Vehicle Selection,Partner Searching,Implemented Screen/Trip fare and details Screen,partner-searching.svg,Implemented,Mock / WebSocket Ready,screens/PartnerSearchingScreen.kt,BookingFlowViewModel,Animated radar search screen finding nearest top-rated cab partner.
27,Payment Flow,Payment Screen,Implemented Screen/Payment Screen,32. payment-screen.svg,Implemented,Mock / Ready for Gateway SDK,screens/PaymentScreen.kt,BookingFlowViewModel,"Payment gateway options: UPI (GPay/PhonePe), Cards, NetBanking with dynamic advance percentage (10-20%) and all-advance milestone schedule."
28,Payment Flow,Payment Processing,Implemented Screen/Payment Screen,33. payment-processing.svg,Implemented,Mock / Webhook Polling Ready,screens/PaymentProcessingScreen.kt,BookingFlowViewModel,Lottie/loader screen waiting for bank confirmation and transaction status.
29,Payment Flow,Payment Failed,Implemented Screen/Payment Screen,34. payment-failed.svg,Implemented,Integrated,screens/PaymentFailedScreen.kt,BookingFlowViewModel,"Transaction failure card, diagnostic failure reason, and Retry Payment CTA."
30,Payment Flow,Refund Initiated,Implemented Screen/Payment Screen,refund-initiated.svg,Implemented,Integrated,screens/RefundInitiatedScreen.kt,BookingFlowViewModel,"Refund reference number, refund amount, expected credit timeline to original payment source."
31,Payment Flow,Trip Payment Schedule,Implemented Screen/Payment Screen,trip-payment-schedule.svg,Implemented,Integrated,screens/TripPaymentScheduleScreen.kt,BookingFlowViewModel,"Adaptive milestone payment schedule engine: 100% advance payments calculated dynamically across 1-day, 2-day, 3-day, and multi-day tours."
32,Payment Flow,Trip Start Payment (Adaptive Advance),Implemented Screen/Payment Screen,trip-start-payment.svg,Implemented,Integrated,screens/TripStartPaymentScreen.kt,BookingFlowViewModel,Driver start-trip payment verification and OTP authentication for active advance milestone.
33,Payment Flow,Payment Reminder Popup,Implemented Screen/Payment Screen,payment-reminder-popup.svg,Implemented,Interactive / StateFlow,screens/PaymentReminderScreen.kt,PaymentReminderViewModel,"Milestone payment reminder popup (30% mid-trip) with amount due card (₹3,150), snooze remind later, and direct pay now CTA."
34,Trip Management,My Trips Screen,Implemented Screen/Trip Screen,my-trips-screen.svg,Implemented,Interactive / StateFlow,screens/MyTripsScreen.kt,MyTripsViewModel,"Tabbed trip history (Upcoming, Completed, Cancelled) with trip cards, OTP, invoice download, and filter tabs."
35,Trip Management,Ongoing Round Trip,Implemented Screen/Trip Screen,ongoing-round-trip.svg,Implemented,Interactive / StateFlow,screens/OngoingTripScreen.kt,OngoingTripViewModel,"Live trip dashboard: status badge, driver card, OTP display, route stepper, emergency SOS button, toll & tax inclusion."
36,Trip Management,Add New Address,Implemented Screen/Trip Screen,add-new-address.svg,Implemented,Interactive / StateFlow,screens/AddNewAddressScreen.kt,AddNewAddressViewModel,"Add custom address form with tag chips (Home, Work, Other), floor/building, landmark, search location."
37,Trip Management,Saved Places Screen,Implemented Screen/Basic Screen,saved-places-screen.svg,Implemented,Interactive / StateFlow,screens/SavedPlacesScreen.kt,SavedPlacesViewModel,"List of bookmarked locations with add/edit dialog, delete confirmation, tag filter, and one-tap selection."
38,Profile & Support,Profile Screen,Implemented Screen/Profile Screen,profile-screen.svg,Implemented,Integrated / User State,screens/ProfileScreen.kt,User Session / App Navigation,"User account dashboard: profile picture, total trips taken, member badge, menu links."
39,Profile & Support,Edit Profile,Implemented Screen/Profile Screen,edit-profile.svg,Implemented,Integrated / Form State,screens/EditProfileScreen.kt,User Session / Profile Form State,"Form to edit Full Name, Mobile Number, Email Address, and upload profile photo."
40,Profile & Support,Customer Support,Implemented Screen/Profile Screen,customer-support.svg,Implemented,Integrated / Interactive FAQ & Helplines,screens/CustomerSupportScreen.kt,Support / SOS Emergency Desk,"Help center: 24/7 call support CTA, WhatsApp chat support, email, and searchable FAQs."
41,Reviews & Notifications,Notifications Screen,Implemented Screen/Review & Notifiaction Screen,notifications-screen.svg,Implemented,Interactive / StateFlow,screens/NotificationsScreen.kt,NotificationsViewModel,"Notification feed with category filter chips (All, Rides, Offers), read/unread status, mark-as-read, and dynamic category icons."
42,Reviews & Notifications,My Review Screen,Implemented Screen/Review & Notifiaction Screen,MyReview.svg,Implemented,Interactive / StateFlow,screens/MyReviewsScreen.kt,MyReviewsViewModel,"Driver review history with 4.2 average rating summary, 5-star graphical bar, review count, and driver feedback list."
43,App Info & Settings,Settings Screen,Implemented Screen/Basic Screen,Setting.svg,Implemented,Interactive / StateFlow,screens/SettingsScreen.kt,SettingsViewModel,"App preferences: Language selector, vehicle & AC preferences, notification switches, privacy controls."
44,App Info & Settings,About GoIndiaCab,Implemented Screen/Basic Screen,About GoIndiaCab.svg,Implemented,Interactive / StateFlow,screens/AboutScreen.kt,AboutViewModel,"Company mission, app version (v2.4.1), platform stats (1000+ Cities, 50K+ Partners, 2M+ Rides), open source licenses."
45,App Info & Settings,Privacy Policy,Implemented Screen/Basic Screen,Privacy Policy.svg,Implemented,Static / Structured Directives,screens/PrivacyPolicyScreen.kt,Static Policy Content,"Legal terms, data privacy policy, 5 structured compliance sections, and data protection officer hotline."
46,App Info & Settings,Rate Us,Implemented Screen/Other Screen,Rate Us.svg,Implemented,Interactive / StateFlow,screens/RateUsScreen.kt,RateUsViewModel,"Interactive 5-star rating with custom 3D phone Canvas graphic, feedback tags, and Play Store CTA."
47,App Info & Settings,Refer & Earn,Implemented Screen/Other Screen,Refer&Earn.svg,Implemented,Interactive / StateFlow,screens/ReferEarnScreen.kt,ReferEarnViewModel,"Referral code card with copy to clipboard, WhatsApp & SMS share, earnings stats tracker."
48,Vector Assets & Components,Cab Illustration,Implemented Vector assest,cab-illustration.svg,Asset (Integrated),N/A (Visual Asset),composeResources/drawable/ic_car_sedan.xml etc.,N/A,Vector graphic illustration of sedan car used across onboarding and booking screens.
49,Vector Assets & Components,Illustration Frame,Implemented Vector assest,illustration-frame.svg,Asset (Integrated),N/A (Visual Asset),composeResources/drawable,N/A,Decorative background frame for illustration graphics.
50,Vector Assets & Components,Rectangle Asset,Implemented Vector assest,Rectangle.svg,Asset (Integrated),N/A (Visual Asset),composeResources/drawable,N/A,Geometric rectangular backdrop asset.
51,Vector Assets & Components,Destination Card - Goa,Implemented Vector assest,card-Goa.svg,Asset (Integrated),N/A (Card Asset / Splash & Home),composeResources/drawable/img_card_goa.png,HomeRepository,Popular destination card asset used in new Splash Screen and Home Screen.
