GoIndiaCab — Backend API Specification												
												
												
ID	Module	API Name	Method	Endpoint	Auth	Phase	Status	API Link	Request Sample	Success Response Sample	Error / Failure Cases	Business Rules & Notes
API-01	Auth & Session	Splash / Session Check	GET	/auth/session	Yes	P0	Frontend Implemented	SessionCheckScreen.kt	— (Authorization: Bearer <jwt>)	"{""isValid"":true,""user"":{""id"":""usr_12345"",""name"":""Dhruva"",""phone"":""+919876543210""},""newToken"":""jwt_refreshed_xxx""}"	"401: {""isValid"":false,""message"":""Session expired. Please login again.""}"	Called on app launch to validate stored token; returns refreshed token if close to expiry.
API-02	Auth & Session	Login (Phone) - Send OTP	POST	/auth/send-otp	No	P0	Frontend Implemented	LoginScreen.kt	"{""phone"":""9876543210"",""countryCode"":""+91""}"	"{""success"":true,""message"":""OTP sent successfully"",""otpLength"":6,""expiresInSeconds"":120,""requestId"":""req_abc123""}"	"429 RATE_LIMIT: ""Too many OTP requests. Try again after 60s."""	phone = exactly 10 digits; countryCode fixed to +91. Max 3 requests/phone/minute.
API-03	Auth & Session	OTP Verification	POST	/auth/verify-otp	No	P0	Frontend Implemented	OtpVerificationScreen.kt	"{""phone"":""9876543210"",""otp"":""482916"",""requestId"":""req_abc123""}"	"{""success"":true,""token"":""jwt_access_xxx"",""refreshToken"":""jwt_refresh_xxx"",""expiresInSeconds"":86400,""user"":{""id"":""usr_12345"",""name"":""Dhruva"",""phone"":""+919876543210"",""isNewUser"":false}}"	400 INVALID_OTP (remainingAttempts field) · 400 OTP_EXPIRED	OTP is 6-digit numeric. Access token expiry 24h, refresh token 30 days.
API-04	Auth & Session	Resend OTP	POST	/auth/resend-otp	No	P0	Frontend Implemented	OtpVerificationScreen.kt	"{""phone"":""9876543210"",""requestId"":""req_abc123""}"	"{""success"":true,""message"":""OTP resent successfully"",""expiresInSeconds"":120,""requestId"":""req_def456""}"	429 RATE_LIMIT	Returns a new requestId each time; old requestId becomes invalid.
API-05	Auth & Session	Login (Social - Google/Apple)	POST	/auth/social-login	No	P0	Frontend Implemented	LoginScreen.kt	"{""provider"":""GOOGLE"",""idToken"":""<google_or_apple_id_token>""}"	"{""success"":true,""token"":""JWT"",""refreshToken"":""JWT"",""user"":{""id"":""usr_..."",""name"":""..."",""isNewUser"":true},""hasPhoneOnFile"":false}"	400 INVALID_TOKEN if provider token fails verification	provider = GOOGLE or APPLE. If hasPhoneOnFile is false, app routes to Link Phone screen.
API-06	Auth & Session	Link Phone (Post-Social)	POST	/auth/link-phone	Yes	P0	Frontend Implemented	LoginScreen.kt	"{""phone"":""9876543210"",""otp"":""482916""}"	"{""success"":true,""message"":""Phone linked and verified""}"	400 INVALID_OTP · 400 PHONE_ALREADY_LINKED	For users who signed in via Google/Apple and need to add + verify a mobile number.
API-07	Auth & Session	Logout	POST	/auth/logout	Yes	P1	Frontend Implemented	SideDrawerMenu.kt	— (Authorization: Bearer <jwt>)	"{""success"":true,""message"":""Logged out successfully""}"	401 Unauthorized	Invalidates JWT and refresh tokens server-side.
API-08	Auth & Session	Refresh Access Token	POST	/auth/refresh-token	No	P0	Frontend Ready	HttpClientFactory	"{""refreshToken"":""jwt_refresh_xxx""}"	"{""success"":true,""token"":""jwt_new_access_xxx"",""expiresInSeconds"":86400}"	401 Refresh token invalid or expired	Silent background token rotation without forcing user re-login.
API-09	Auth & Session	Delete Account	DELETE	/users/account	Yes	P1	Frontend Ready	SettingsScreen.kt	"{""confirmation"":""DELETE_MY_ACCOUNT"",""reason"":""Optional reason""}"	"{""success"":true,""message"":""Account deleted permanently""}"	400 Invalid confirmation text	Mandatory for Google Play & Apple App Store review compliance.
API-10	Home Feed	Get Home Feed	GET	/home/feed	Yes	P0	Client Implemented (Ktor)	HomeApiClient.kt	—	"{""popularRoutes"":[...],""recentTrips"":[...],""promoBanner"":{...},""whyFeatures"":[...],""defaultPickup"":"""",""defaultDateTime"":""Today, 10:30 AM""}"	—	Single payload for the whole home screen. Implemented in HomeApiClient with fallback.
API-11	Home Feed	Search Cabs Quick Query	POST	/cabs/search	Yes	P1	Client Implemented (Ktor)	HomeApiClient.kt	"{""serviceType"":""outstation_one_way"",""pickupLocation"":""New Delhi Railway Station"",""dropLocation"":""Agra Cantt"",""pickupDateTime"":""2026-09-20T18:00:00+05:30"",""vehicleType"":""Sedan""}"	"{""success"":true,""searchId"":""srch_789abc"",""availableCount"":12}"	—	serviceType enum: outstation_one_way, outstation_round_trip, airport_transfers, hourly_rentals.
API-12	Home Feed	Book Again (Rebook Trip)	POST	/trips/{tripId}/rebook	Yes	P1	Client Implemented (Ktor)	HomeApiClient.kt	— (tripId in path)	"{""success"":true,""message"":""Booking initiated for trip: trip_ndls_igi"",""newBookingId"":""GIC-849202""}"	404 if tripId not found	Re-initiates a previous trip with identical route parameters.
API-13	Locations	Search Places (Autocomplete)	GET	/locations/search?query=&limit=	Yes	P0	Client Implemented (Ktor / Google Places)	LocationApiClient.kt	query (required, min 1 char) · limit (optional, default 10)	"{""results"":[{""id"":""loc_delhi_cp"",""title"":""Connaught Place"",""subtitle"":""Central Delhi, Delhi 110001"",""point"":{""latitude"":28.6329,""longitude"":77.2195},""category"":""LANDMARK"",""isFavorite"":false}]}"	—	Autocomplete for pickup/drop locations. Integrates Google Places API with Indian cities fallback.
API-14	Locations	Reverse Geocode Pin	GET	/locations/reverse-geocode?lat=&lng=	Yes	P0	Client Implemented (Ktor / Google Places)	LocationApiClient.kt	lat, lng (required, WGS 84)	"{""title"":""Current Location"",""fullAddress"":""Near Central City Point, Connaught Place"",""point"":{""latitude"":28.6329,""longitude"":77.2195},""city"":""Delhi NCR"",""postalCode"":""110001""}"	—	Used when user moves map pin or drops pin on Confirm Pickup Map screen.
API-15	Locations	Get Current GPS Location	GET	/locations/current	Yes	P2	Client Implemented (Ktor)	LocationApiClient.kt	— (client GPS coordinates)	"{""id"":""loc_current_gps"",""title"":""Current Location"",""subtitle"":""Detected via GPS"",""point"":{""latitude"":28.6329,""longitude"":77.2195},""category"":""LANDMARK""}"	—	Server-side reverse-resolution of GPS coords to landmark address.
API-16	Locations	Toggle Favourite Location	POST	/locations/{locationId}/favourite	Yes	P2	Frontend Ready	SavedPlacesViewModel.kt	— (locationId in path)	"{""locationId"":""loc_delhi_cp"",""isFavorite"":true}"	—	Toggles bookmark on/off; response returns new state.
API-17	Locations	Get Favourite Locations	GET	/locations/favourites	Yes	P2	Frontend Ready	SavedPlacesViewModel.kt	—	"{""favourites"":[""loc_delhi_cp"",""loc_igi_t3"",""loc_noida_62""]}"	—	Returns list of favourited location IDs for quick chips on pickup screen.
API-18	Outstation & Routing	Get Popular Outstation Routes	GET	/outstation/popular-routes?tripType=	Yes	P0	Client Implemented (Ktor)	OutstationApiClient.kt	tripType: ONE_WAY | ROUND_TRIP | AIRPORT | HOURLY	"{""routes"":[{""id"":""route_delhi_agra"",""fromCity"":""Delhi"",""toCity"":""Agra"",""distanceKm"":230,""priceInr"":2499}]}"	—	Shown on City Route Selection screen with base price estimates.
API-19	Outstation & Routing	Search Destinations	GET	/outstation/search-destinations?query=	Yes	P0	Client Implemented (Ktor / Google Places)	OutstationApiClient.kt	query (optional — empty returns recent searches)	"{""destinations"":[{""id"":""dest_agra"",""title"":""Agra"",""state"":""Uttar Pradesh"",""distanceKm"":230}]}"	—	Empty query returns recent searches; live query autocompletes tourist destinations.
API-20	Outstation & Routing	Calculate Multi-Stop Route	POST	/outstation/multi-stop-route	Yes	P0	Client Implemented (Ktor)	OutstationApiClient.kt	"{""stops"":[""Delhi"",""Khatu Shyam Temple"",""Salasar Balaji"",""Jaipur""]}"	"{""pickupPoint"":""Delhi"",""stops"":[{""id"":""stop_khatu"",""stopNumber"":1,""name"":""Khatu Shyam Temple"",""isDeletable"":true}],""dropoffPoint"":""Jaipur"",""totalDistanceKm"":580,""estDurationText"":""~10 Hours"",""totalEstimateInr"":12400}"	—	Calculates total driving distance, duration, toll count, and base fare for multi-stop itinerary.
API-21	Outstation & Routing	Get Available Time Slots	GET	/outstation/time-slots?date=	Yes	P1	Client Implemented (Ktor)	OutstationApiClient.kt	date (required YYYY-MM-DD)	"{""slots"":[""05:00 PM"",""05:30 PM"",""06:00 PM"",""06:30 PM""]}"	—	Enforces minimum 4-hour advance booking lead time.
API-22	Outstation & Routing	Add / Modify Intermediate Stop	POST	/trips/{tripId}/stops	Yes	P1	Frontend Implemented	AddStopScreen.kt	"{""stopAddress"":""Khatu Shyam Temple, Rajasthan"",""latitude"":27.3592,""longitude"":75.4057}"	"{""success"":true,""updatedStops"":[...],""recalculatedDistanceKm"":620,""fareDeltaInr"":1500,""newTotalFare"":13900}"	400 Invalid waypoint coordinates	Allows adding via-points during itinerary planning or active trip tracking.
API-23	Vehicles & Pricing	Get Vehicle Partner Options	GET	/vehicles/options?origin=&destination=	Yes	P0	Client Implemented (Ktor)	VehicleApiService.kt	origin, destination (required)	"{""vehicles"":[{""id"":""veh_swift_dzire"",""name"":""Swift Dzire"",""category"":""SEDAN"",""seatingCapacity"":4,""hasAc"":true,""rating"":4.5,""isRecommended"":true,""allInclusiveFare"":3450,""extraKmRate"":12,""freeKmLimit"":250,""nightCharges"":250,""features"":[""4 seats"",""AC""]}]}"	—	category enum: SEDAN, SUV, PREMIUM, GROUP_TRAVEL. Live quotes per category.
API-24	Vehicles & Pricing	Get Route Summary Header	GET	/vehicles/route-summary?origin=&destination=	Yes	P0	Client Implemented (Ktor)	VehicleApiService.kt	origin, destination (required)	"{""origin"":""Delhi"",""destination"":""Agra"",""distanceKm"":230,""tripType"":""One Way"",""departureTime"":""Today, 10:30 AM"",""basePrice"":3450}"	—	Header strip displayed above vehicle options list.
