GoIndiaCab — Master Screen Inventory Table									
Tracking mobile application screens, vector assets, Kotlin UI components, and API integration status.									
									
TOTAL SCREENS & ASSETS		UI IMPLEMENTED		API INTEGRATED			PENDING SCREENS		
65		65		35			0		
S.No.	Category / Module	Screen Name	SVG Subfolder	SVG Filename	UI Status	Backend / API Status	Existing / Proposed Kotlin File	ViewModel / Repository	Key Features & UI Elements
1	StartUp & Auth	Splash Screen	Implemented Screen/StartUp Screen	1. splash-screen.svg	Implemented	API-01 (Session Check)	SplashScreen.kt	SessionCheckScreen	Brand logo, splash entry animation, auth session check.
2	StartUp & Auth	Onboarding Screen	Implemented Screen/StartUp Screen	3. onboarding.svg	Implemented	Local SharedPreferences	OnboardingScreen.kt	Local SharedPreferences	Value proposition carousel with Skip & Next actions.
3	StartUp & Auth	Location Permission Screen	Implemented Screen/StartUp Screen	13. location-permission.svg	Implemented	API-13 (GPS fix)	LocationPermissionScreen.kt	LocationPermissionRequester	Location rationale explanation, GPS permission grant.
4	StartUp & Auth	Login Screen (Phone Auth)	Implemented Screen/auth Screen	4. login-screen.svg	Implemented	API-02 (Send OTP)	LoginScreen.kt	Auth Repository	Mobile number field with (+91), validation, and Send OTP.
5	StartUp & Auth	OTP Verification Screen	Implemented Screen/auth Screen	7. otp-verification.svg	Implemented	API-03 (Verify OTP)	OtpVerificationScreen.kt	Auth Repository	6-digit OTP input, auto-focus, and validation flow.
6	StartUp & Auth	Resend OTP Screen	Implemented Screen/auth Screen	8. resend-otp.svg	Implemented	API-04 (Resend OTP)	OtpVerificationScreen.kt	Auth Repository	Countdown timer expiration & Resend OTP action.
7	StartUp & Auth	OTP Error State	Implemented Screen/auth Screen	9. otp-error.svg	Implemented	API-03 (Error Handler)	OtpVerificationScreen.kt	Auth Repository	Invalid OTP error message and red border highlights.
8	StartUp & Auth	Splash Screen (Variant)	Splash Screen	splash-screen.svg	Implemented	API-01 (Session Check)	SplashScreen.kt	SessionCheckScreen	Alternative vector artwork for splash screen.
9	Main Screen	Home Screen	Implemented Screen/Main Screen	15. home-screen.svg	Implemented	API-08, API-09, API-10	HomeScreen.kt	HomeViewModel, HomeRepository	Tabs (Outstation, Local, Airport), destinations, promos.
10	Main Screen	Side Drawer Menu	Implemented Screen/Main Screen	side-drawer-menu.svg	Implemented	API-37 (Profile), API-07 (Logout)	SideDrawerMenu.kt	App Navigation / User Session	Slide-over drawer with profile, trips, settings, support links.
11	Trip Booking Process	Pickup Location Selection	Implemented Screen/Trip Booking Process Screen	16. pickup-location-selection.svg	Implemented	API-11 (Search Places), API-13 (GPS)	PickupLocationSelectionScreen.kt	LocationSelectionViewModel, GooglePlacesService	Search pickup, GPS location button, saved/recent chips.
12	Trip Booking Process	Confirm Pickup Location - Map	Implemented Screen/Trip Booking Process Screen	17. confirm-pickup-location - map.svg	Implemented	API-12 (Reverse Geocode)	ConfirmPickupLocationMapScreen.kt	ConfirmPickupViewModel, PlatformMapView	Interactive map, draggable center pin, address preview card.
13	Trip Booking Process	City Route Selection	Implemented Screen/Trip Booking Process Screen	18. city-route-selection.svg	Implemented	API-16 (Popular Routes)	CityRouteSelectionScreen.kt	OutstationRouteViewModel, OutstationRepository	One-Way vs Round Trip toggle, city selection cards.
14	Trip Booking Process	Search Destination	Implemented Screen/Trip Booking Process Screen	19. search-destination.svg	Implemented	API-17 (Search Destinations)	SearchDestinationScreen.kt	SearchDestinationViewModel, GooglePlacesService	City search autocomplete with popular tourist suggestions.
15	Trip Booking Process	Pickup-Drop Confirmation	Implemented Screen/Trip Booking Process Screen	21. pickup-drop-confirmation.svg	Implemented	API-18 (Multi-Stop Route)	MultiStopRouteConfirmationScreen.kt	MultiStopRouteViewModel	Multi-stop itinerary, total distance (km), travel duration.
16	Trip Booking Process	Schedule Ride	Implemented Screen/Trip Booking Process Screen	22. schedule-ride.svg	Implemented	API-19 (Available Slots)	ScheduleRideScreen.kt	ScheduleRideViewModel	Ride Now vs Schedule for Later toggle.
17	Trip Booking Process	Date Selection	Implemented Screen/Trip Booking Process Screen	23. date-selection.svg	Implemented	API-19 (Available Slots)	DateSelectionScreen.kt	ScheduleRideViewModel	Departure and return date calendar picker.
18	Trip Booking Process	Time Selection	Implemented Screen/Trip Booking Process Screen	24. time-selection.svg	Implemented	API-19 (Available Slots)	TimeSelectionScreen.kt	ScheduleRideViewModel	Time slot picker (hours, minutes, AM/PM) with buffer check.
19	Trip Fare & Vehicle Selection	Vehicle Partner Options	Implemented Screen/Trip fare and details Screen	25. vehicle-partner-options.svg	Implemented	API-20 (Options), API-21 (Summary)	VehiclePartnerOptionsScreen.kt	VehicleSelectionViewModel, VehicleRepository	Vehicle tiers (Sedan, SUV, Crysta), fare estimates, ratings.
20	Trip Fare & Vehicle Selection	Cab Detail	Implemented Screen/Trip fare and details Screen	27. cab-detail.svg	Implemented	API-22 (Cab Detail)	CabDetailScreen.kt	BookingFlowViewModel, BookingRepository	Vehicle specifications, seats, baggage allowance, amenities.
21	Trip Fare & Vehicle Selection	Fare Details	Implemented Screen/Trip fare and details Screen	28. fare-details.svg	Implemented	API-22 (Fare Breakdown)	FareDetailsScreen.kt	BookingFlowViewModel	Itemized breakdown: base fare, extra km, tolls, night fee, GST.
22	Trip Fare & Vehicle Selection	Apply Coupon	Implemented Screen/Trip fare and details Screen	29. apply-coupon.svg	Implemented	API-23, API-24, API-25	ApplyCouponScreen.kt	BookingFlowViewModel	Promo code entry, coupon list, and instant savings logic.
23	Trip Fare & Vehicle Selection	Booking Summary	Implemented Screen/Trip fare and details Screen	30. booking-summary.svg	Implemented	API-22, API-27 (Payment Methods)	BookingSummaryScreen.kt	BookingFlowViewModel	Pre-payment review: trip, vehicle, traveler, discount, total.
24	Trip Fare & Vehicle Selection	Booking Confirmation	Implemented Screen/Trip fare and details Screen	31. booking-confirmation.svg	Implemented	API-26 (Advance), API-33 (Schedule)	BookingConfirmationScreen.kt	BookingFlowViewModel	Milestone terms & 10%/20% advance payment option.
25	Trip Fare & Vehicle Selection	Booking ID Confirmation	Implemented Screen/Trip fare and details Screen	35. booking-id-confirmation.svg	Implemented	API-28 (Confirmed), API-31 (Ticket)	BookingIdConfirmationScreen.kt	BookingFlowViewModel	Booking reference ticket, PDF receipt download, Track Trip.
26	Trip Fare & Vehicle Selection	Partner Searching	Implemented Screen/Trip fare and details Screen	partner-searching.svg	Implemented	API-29 (Search), API-30 (Cancel)	PartnerSearchingScreen.kt	BookingFlowViewModel	Animated radar driver search with 45s countdown.
27	Payment Flow	Payment Screen	Implemented Screen/Payment Screen	32. payment-screen.svg	Implemented	API-26 (Process), API-27 (Methods)	PaymentScreen.kt	BookingFlowViewModel	Payment modes: UPI (GPay/PhonePe), Cards, NetBanking.
28	Payment Flow	Payment Processing	Implemented Screen/Payment Screen	33. payment-processing.svg	Implemented	API-26 (Payment Gateway)	PaymentProcessingScreen.kt	BookingFlowViewModel	Loading spinner waiting for bank transaction authorization.
29	Payment Flow	Payment Failed	Implemented Screen/Payment Screen	34. payment-failed.svg	Implemented	API-26 (Failure Response)	PaymentFailedScreen.kt	BookingFlowViewModel	Failure diagnostics, clear failure reason, and Retry CTA.
30	Payment Flow	Refund Initiated	Implemented Screen/Payment Screen	refund-initiated.svg	Implemented	API-32 (Refund Invoice)	RefundInitiatedScreen.kt	BookingFlowViewModel	Refund invoice ID, refund amount, bank credit timeline.
31	Payment Flow	Trip Payment Schedule	Implemented Screen/Payment Screen	trip-payment-schedule.svg	Implemented	API-33 (Schedule), API-34 (Pay)	TripPaymentScheduleScreen.kt	BookingFlowViewModel, DynamicPaymentScheduleEngine	3-stage milestone tracker (10% advance, 40% start, 50% drop).
32	Payment Flow	Trip Start Payment (40%)	Implemented Screen/Payment Screen	trip-start-payment.svg	Implemented	API-34 (Milestone Pay), API-35 (OTP)	TripStartPaymentScreen.kt	BookingFlowViewModel	Mid-trip driver verification OTP & 40% milestone release.
33	Payment Flow	Payment Reminder Popup	Payment Screen	payment-reminder-popup.svg	Implemented	API-33 (Payment Schedule)	PaymentReminderScreen.kt	PaymentReminderViewModel	Popup alert reminding user to clear pending milestone payment.
34	Trip Management	My Trips Screen	Trip Screen	my-trips-screen.svg	Implemented	API-42 (Get Trips List)	MyTripsScreen.kt	MyTripsViewModel	Tabs for Upcoming, Completed, and Cancelled rides with filters.
35	Trip Management	Ongoing Round Trip	Trip Screen	ongoing-round-trip.svg	Implemented	API-44 (Tracking), API-50 (SOS), API-35	OngoingTripScreen.kt	TripTrackingViewModel	Active ride tracking, driver details, start OTP, SOS button.
36	Trip Management	Add New Address	Trip Screen	add-new-address.svg	Implemented	API-40 (Add Address), API-12 (Geocode)	AddNewAddressScreen.kt	SavedPlacesViewModel	Address form with tags (Home, Work, Other) and landmark.
37	Trip Management	Saved Places Screen	Basic Screen	saved-places-screen.svg	Implemented	API-39 (Get Addresses), API-41 (Delete)	SavedPlacesScreen.kt	SavedPlacesViewModel	Bookmarked address list with edit, delete, and 1-tap booking.
38	Profile & Support	Profile Screen	Profile Screen	profile-screen.svg	Implemented	API-37 (Get Profile)	ProfileScreen.kt	SettingsViewModel, ProfileRepository	Profile photo, name, phone, email, and account settings.
39	Profile & Support	Edit Profile	Profile Screen	edit-profile.svg	Implemented	API-38 (Update Profile)	EditProfileScreen.kt	SettingsViewModel	Form to edit personal info, phone number, and avatar.
40	Profile & Support	Customer Support	Profile Screen	customer-support.svg	Implemented	API-48 (Raise Ticket), API-49 (History)	CustomerSupportScreen.kt	CustomerSupportViewModel	24/7 Call support CTA, WhatsApp chat support, FAQs.
41	Reviews & Notifications	Notifications Screen	Review & Notifiaction Screen	notifications-screen.svg	Implemented	API-47 (Notifications Feed)	NotificationsScreen.kt	NotificationsViewModel	Notification alerts feed for rides, receipts, and promos.
42	Reviews & Notifications	My Review Screen	Review & Notifiaction Screen	MyReview.svg	Implemented	API-45 (Submit), API-46 (Get Reviews)	MyReviewsScreen.kt	MyReviewsViewModel	Past trip reviews, star ratings, and feedback left for drivers.
43	App Info & Settings	Settings Screen	Basic Screen	Setting.svg	Implemented	API-37 (Profile), Local DataStore	SettingsScreen.kt	SettingsViewModel	Push notification toggles, language, clear cache.
44	App Info & Settings	About GoIndiaCab	Basic Screen	About GoIndiaCab.svg	Implemented	Static Config	AboutScreen.kt	AboutViewModel	Company info, version tag (v1.0.0), terms links, social icons.
45	App Info & Settings	Privacy Policy	Basic Screen	Privacy Policy.svg	Implemented	Static Web Content	PrivacyPolicyScreen.kt	Static Content	Legal policy text, user data protection, privacy terms.
46	App Info & Settings	Rate Us	Other Screen	Rate Us.svg	Implemented	API-45 (Submit Review) / In-App Review	RateUsScreen.kt	OtherScreensViewModels	5-star in-app review popup leading to Play Store / App Store.
47	App Info & Settings	Refer & Earn	Other Screen	Refer&Earn.svg	Implemented	API-51 (Referrals Info)	ReferEarnScreen.kt	OtherScreensViewModels	Referral code card with copy/share CTA and ₹500 reward rules.
48	Vector Assets & Components	Cab Illustration	Implemented Screen	cab-illustration.svg	Asset (Integrated)	N/A	composeResources/drawable	N/A	Sedan cab illustration used across onboarding and booking.
49	Vector Assets & Components	Illustration Frame	Implemented Screen	illustration-frame.svg	Asset (Integrated)	N/A	composeResources/drawable	N/A	Background frame for vehicle graphics.
50	Vector Assets & Components	Rectangle Asset	vector assest	Rectangle.svg	Asset (Integrated)	N/A	composeResources/drawable	N/A	Vector backdrop shape asset.
51	Vector Assets & Components	Destination Card - Goa	vector assest	card-Goa.svg	Asset (Integrated)	N/A	HomeScreen.kt	HomeRepository	Home screen banner card for Goa outstation route.
52	Vector Assets & Components	Destination Card - Jaipur	vector assest	card-Jaipur.svg	Asset (Integrated)	N/A	HomeScreen.kt	HomeRepository	Home screen banner card for Jaipur outstation route.
53	Vector Assets & Components	Destination Card - Kerala	vector assest	card-Kerala.svg	Asset (Integrated)	N/A	HomeScreen.kt	HomeRepository	Home screen banner card for Kerala outstation route.
54	Vector Assets & Components	Destination Card - Manali	vector assest	card-Manali.svg	Asset (Integrated)	N/A	HomeScreen.kt	HomeRepository	Home screen banner card for Manali outstation route.
									
💡 Additional App Screens & Services Implemented in Codebase									
S.No.	Category / Module	Screen Name	SVG Subfolder	SVG Filename	UI Status	Backend / API Status	Existing / Proposed Kotlin File	ViewModel / Repository	Key Features & UI Elements
55	Trip Management	Partner Assigned Screen	Codebase Implementation	—	Implemented	API-29 (Search), API-31 (Ticket)	PartnerAssignedScreen.kt	BookingFlowViewModel	Driver partner allocation confirmed screen with live OTP.
56	StartUp & Auth	Session Check Screen	Codebase Implementation	—	Implemented	API-01 (Session Check)	SessionCheckScreen.kt	SessionCheckScreen	Background authentication token validation dispatcher.
57	Trip Booking Process	Add Stop Screen	Codebase Implementation	—	Implemented	API-18 (Route), API-52 (Add Stop)	AddStopScreen.kt	MultiStopRouteViewModel	Add intermediate waypoints and recalculate itinerary & fare.
58	Trip Management	Trip Details Screen	Codebase Implementation	—	Implemented	API-43 (Trip Details), API-31 (Ticket)	TripDetailsScreen.kt	MyTripsViewModel	Comprehensive ride summary, invoice breakdown, support access.
59	Payment Flow	Payment OTP Verification Screen	Implemented Screen/Payment Screen	payment-otp-verification.svg	Implemented	API-35 (Verify OTP), API-36 (Resend)	PaymentOtpVerificationScreen.kt	BookingFlowViewModel	4-digit milestone cash/UPI payment handover verification OTP.
60	Payment Flow	Pay Remaining Payment Screen	Codebase Implementation	—	Implemented	API-53 (Remaining Pay), API-34 (Mark Paid)	PayRemainingPaymentScreen.kt	BookingFlowViewModel	Final ride completion balance settlement screen.
61	Help & Support	Safety & Security Help	Codebase Implementation	—	Implemented	API-50 (SOS Alert), API-48 (Ticket)	HelpSafetyScreen.kt	CustomerSupportViewModel	Emergency assistance, 24x7 helpline, SOS dispatch.
62	Help & Support	Trip Issues & Lost Items	Codebase Implementation	—	Implemented	API-48 (Ticket), API-43 (Trip Details)	HelpTripIssuesScreen.kt	CustomerSupportViewModel	Report lost items, driver disputes, route discrepancy.
63	Help & Support	Payments & Refunds Help	Codebase Implementation	—	Implemented	API-32 (Refund), API-48 (Ticket)	HelpPaymentsScreen.kt	CustomerSupportViewModel	Resolve overcharges, failed transaction disputes, refund status.
